id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,price,jenis_sepakbola,jenis_badminton,jenis_tenis,jenis_voli,jenis_futsal,jenis_basket,fasilitas_wifi,fasilitas_parkir_motor,fasilitas_parkir_mobil,fasilitas_wc,fasilitas_kantin,fasilitas_mushola
F142,Bardosono Futsal,-7.7818999,110.3512402,"Jl. Kyai Mojo No.117, Bener, Kota Yogyakarta",Bener,Yogyakarta,4,69,60000,0,0,0,0,1,0,0,1,1,1,0,1
F887,Bardosono Happy Futsal,-7.807485,110.3898517,"59VQ+2W4, Jl. Prof. DR. Soepomo Sh, Warungboto, Kota Yogyakarta",Warungboto,Yogyakarta,4.4,709,65000,0,0,0,0,1,0,0,1,1,1,1,1
F872,Empat R Futsal,-7.8258692,110.3676861,"Jl. Parangtritis No.161, Brontokusuman, Kota Yogyakarta",Brontokusuman,Yogyakarta,4.4,707,65000,0,0,0,0,1,0,1,1,1,1,1,1
F940,Futsal Jogokaryan,-7.8242298,110.3669764,"Jl. Jogokaryan No.65, Mantrijeron, Kota Yogyakarta",Mantrijeron,Yogyakarta,4.5,1020,68000,0,0,0,0,1,0,0,1,1,1,1,1
C106,Gor Badminton Tompeyan,-7.7846478,110.3547729,"Jl. Tompeyan No.161, Tegalrejo, Kota Yogyakarta",Tegalrejo,Yogyakarta,4.5,79,70000,0,1,0,0,0,0,0,1,1,1,1,1
C234,Gor Bener,-7.7761316,110.3524374,"69F2+GX6, Jl. Bener, Bener, Kota Yogyakarta",Bener,Yogyakarta,4.4,61,65000,0,1,0,0,0,0,0,1,1,1,1,1
C422,Gor Cokrodirjan,-7.7958533,110.3700739,"693C+M24, Gg. Sutedjo, Suryatmajan, Kota Yogyakarta",Suryatmajan,Yogyakarta,4.5,8,60000,0,1,0,0,0,0,1,1,1,1,1,1
C627,Gor Glagahsari,-7.8047163,110.3880414,"Warungboto, Yogyakarta City",Warungboto,Yogyakarta,4.6,107,65000,0,1,0,0,0,0,1,1,1,1,1,1
B675,Gor Multifungsi Akademi Akuntansi Ykpn  ,-7.7846238,110.3836593,"Jl. Gagak Rimang No.4, Klitren, Kota Yogyakarta",Klitren,Yogyakarta,4.5,4,65000,0,0,0,0,0,1,1,1,1,0,1,1
C847,Lapangan Badminton Sambirejo ,-7.8151437,110.393632,"59MV+XF2, Gg. Sambirejo III, Prenggan, Kota Yogyakarta",Prenggan,Yogyakarta,4.2,17,60000,0,1,0,0,0,0,0,1,1,1,0,0
