no,id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,id_pengguna,minat
6,C422,Gor Cokrodirjan,-7.7958533,110.3700739,"693C+M24, Gg. Sutedjo, Suryatmajan, Kota Yogyakarta",Suryatmajan,Yogyakarta,4.5,8,P1,badminton
8,B675,Gor Multifungsi Akademi Akuntansi Ykpn  ,-7.7846238,110.3836593,"Jl. Gagak Rimang No.4, Klitren, Kota Yogyakarta",Klitren,Yogyakarta,4.5,4,P2,basket
9,C847,Lapangan Badminton Sambirejo ,-7.8151437,110.393632,"59MV+XF2, Gg. Sambirejo III, Prenggan, Kota Yogyakarta",Prenggan,Yogyakarta,4.2,17,P3,badminton
12,C28,Lapangan Bulutangkis Suryatmajan,-7.7957819,110.3684331,"6939+M9M, Suryatmajan, Yogyakarta City",Suryatmajan,Yogyakarta,4.5,11,P4,badminton
13,C393,Lapangan Bulutangkis Timpasko,-7.8281574,110.4016317,"5CC2+PJ9, Dolahan, Purbayan, Purbayan, Yogyakarta City",Purbayan,Yogyakarta,4.7,3,P5,badminton
18,V584,Lapangan Rw  Gambiran,-7.819978,110.3911323,"59JR+2F2, Jl. Gambir Sari, Pandeyan, Kota Yogyakarta",Pandeyan,Yogyakarta,5.0,3,P6,voli
21,T987,Lapangan Tenis Green House,-7.8221715,110.3748489,"59HF+4WP, Brontokusuman, Yogyakarta City",Brontokusuman,Yogyakarta,4.1,8,P7,tenis
22,T399,Lapangan Tenis Polbangtan Yogyakarta,-7.8031737,110.3810656,"59WJ+PCP, Tahunan, Yogyakarta City",Tahunan,Yogyakarta,4.6,5,P8,tenis
25,B77,Mataram Basketball  Spartan Court,-7.7816878,110.366039,"Jl. Kranggan No.7, Cokrodiningratan, Kota Yogyakarta",Cokrodiningratan,Yogyakarta,4.5,6,P9,basket
28,F883,Next Futsal,-7.7828864,110.3837101,"698M+RFW, Jl. Urip Sumoharjo, Klitren, Kota Yogyakarta",Klitren,Yogyakarta,4.7,6,P10,futsal
32,C611,Lapangan Badminton Pb,-7.8200691,110.3547008,"59H3+XVG, Gedongkiwo, Yogyakarta City",Gedongkiwo,Yogyakarta,4.6,10,P11,badminton
33,C395,Lapangan Kasunaran,-7.82026,110.3528216,"59H3+V4W, Gedongkiwo, Yogyakarta City",Gedongkiwo,Yogyakarta,4.3,4,P12,badminton
35,C448,Gor Badminton,-7.8070752,110.3783495,"59VH+58G, Wirogunan, Yogyakarta City",Wirogunan,Yogyakarta,5.0,7,P13,badminton
36,C617,Lapangan Badminton,-7.8047479,110.383535,"59WM+4C2, Tahunan, Yogyakarta City",Tahunan,Yogyakarta,4.6,19,P14,badminton
37,C277,Gedung Olahraga Ust,-7.8072822,110.3844417,"Tahunan RT.22, Yogyakarta City",Tahunan RT.22,Yogyakarta,4.8,12,P15,badminton
40,C859,Gor Sbf Bulutangkis Badminton,-7.8101717,110.4056244,"Jl. Wonosari No.5, pandansari, ketandan, Kabupaten Bantul",ketandan,Bantul,4.9,19,P16,badminton
42,C723,Lapangan Batminton Klitren Lor,-7.7865519,110.3790261,"Jl. Dr. Wahidin Sudirohusodo No.24, Klitren, Kota Yogyakarta",Klitren,Yogyakarta,5.0,3,P17,badminton
44,C424,Lapangan Gondolayu,-7.7818554,110.3707448,"699C+775, kampung gondolayu lor, cokrodiningraan, Jetis, yogyakarta, Sarah Istimewa Yogyakarta, Cokrodiningratan, Kota Yogyakarta",Cokrodiningratan,Yogyakarta,4.8,8,P18,badminton
45,C224,Lapangan Gemblakan Bawah,-7.7934995,110.3682878,"6949+J83, Suryatmajan, Yogyakarta City",Suryatmajan,Yogyakarta,4.8,8,P19,badminton
46,C744,Gor Kebon Ndalem Jogoyudan,-7.7840877,110.3678457,"Jl. Kb. Dalem No.3, Gowongan, Kota Yogyakarta",Gowongan,Yogyakarta,5.0,3,P20,badminton
48,C572,Grayag,-7.8004064,110.3544474,"59X3+RQP, Jl. Gampingan, Pakuncen, Kota Yogyakarta",Pakuncen,Yogyakarta,4.8,13,P21,badminton
49,C459,Lapangan Bulu Tangkis Widuri,-7.8052857,110.3455159,"58VW+V6J, Wirobrajan, Yogyakarta City",Wirobrajan,Yogyakarta,4.8,10,P22,badminton
51,C969,Gor Badminton Kopertis V Yogyakarta,-7.785241,110.3599393,"6975+VXW, Bumijo, Yogyakarta City",Bumijo,Yogyakarta,4.6,16,P23,badminton
52,C885,Gedung Serbaguna Tompeyan,-7.7840947,110.3548544,"Jl. Tompeyan No.218, Tegalrejo, Kota Yogyakarta",Tegalrejo,Yogyakarta,4.8,14,P24,badminton
54,C680,Gor Badminton Kelurahan Kricak,-7.7742075,110.359457,"69G5+8QG, Kricak, Yogyakarta City",Kricak,Yogyakarta,4.1,7,P25,badminton
62,V973,Lapangan Bola Voli Kruwet,-7.7580495,110.2628985,"67R7+V72, Kruwet, Sumberagung, Kabupaten Sleman",Sumberagung,Sleman,4.4,9,P26,voli
67,S458,Lapangan Mlati,-7.7326043,110.3294656,"788H+XQ4, Area Sawah, Tlogoadi, Kabupaten Sleman",Tlogoadi,Sleman,4.6,5,P27,sepak bola
70,V241,Lapangan Volly Kalurahan Margokaton,-7.7235875,110.2967805,"77GW+HP6, Jl. Sonoharjo, Bokong, Margokaton, Kabupaten Sleman",Margokaton,Sleman,5.0,3,P28,voli
72,V690,Lapangan Bola Voli Tokerten,-7.7251125,110.3212886,"78FC+XG3, Tokertek, Sumberadi, Kabupaten Sleman",Sumberadi,Sleman,5.0,4,P29,voli
73,V245,Lapangan Voly Bantulan,-7.7252707,110.2954795,"BANTULAN, RW.25 RT04, MARGOKATON, SEYEGAN, SLEMAN, Bontulan, Margokaton, Kabupaten Sleman",Margokaton,Sleman,4.3,9,P30,voli
